load Latte-XL/2 /root/viewdit/weights/Latte/ffs.pt steps 50 ddim
Using Ema!
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
seed 8 C_p1.0_w0.5@10 relL2=0.3188 lpips=0.0544 ffe=10.00
seed 8 C_p1.0_w0.75@10 relL2=0.3249 lpips=0.0741 ffe=10.00
seed 8 C_p1.25_w0.25@10 relL2=0.3867 lpips=0.0739 ffe=10.00
seed 8 C_p1.25_w0.5@10 relL2=0.3937 lpips=0.0822 ffe=10.00
seed 8 C_p1.25_w0.75@10 relL2=0.4085 lpips=0.1166 ffe=10.00
seed 8 C_T1+SC1.25@10 relL2=0.3638 lpips=0.0705 ffe=10.00
seed 8 B1_T1@15 relL2=0.3250 lpips=0.0540 ffe=15.00
seed 8 C_p1.0_w0.25@15 relL2=0.3285 lpips=0.0546 ffe=15.00
seed 8 C_p1.0_w0.5@15 relL2=0.3341 lpips=0.0566 ffe=15.00
seed 8 C_p1.0_w0.75@15 relL2=0.3737 lpips=0.0705 ffe=15.00
seed 8 C_p1.25_w0.25@15 relL2=0.3341 lpips=0.0559 ffe=15.00
seed 8 C_p1.25_w0.5@15 relL2=0.3309 lpips=0.0566 ffe=15.00
seed 8 C_p1.25_w0.75@15 relL2=0.3196 lpips=0.0593 ffe=15.00
seed 8 C_T1+SC1.25@15 relL2=0.3406 lpips=0.0578 ffe=15.00
seed 8 B1_T1@20 relL2=0.0790 lpips=0.0066 ffe=20.00
seed 8 C_p1.0_w0.25@20 relL2=0.1201 lpips=0.0116 ffe=20.00
seed 8 C_p1.0_w0.5@20 relL2=0.1461 lpips=0.0150 ffe=20.00
seed 8 C_p1.0_w0.75@20 relL2=0.1839 lpips=0.0201 ffe=20.00
seed 8 C_p1.25_w0.25@20 relL2=0.3054 lpips=0.0488 ffe=20.00
seed 8 C_p1.25_w0.5@20 relL2=0.2882 lpips=0.0458 ffe=20.00
seed 8 C_p1.25_w0.75@20 relL2=0.2697 lpips=0.0437 ffe=20.00
seed 8 C_T1+SC1.25@20 relL2=0.3150 lpips=0.0519 ffe=20.00
seed 9 B1_T1@10 relL2=0.3437 lpips=0.0806 ffe=10.00
seed 9 C_p1.0_w0.25@10 relL2=0.3187 lpips=0.0690 ffe=10.00
seed 9 C_p1.0_w0.5@10 relL2=0.3209 lpips=0.0701 ffe=10.00
seed 9 C_p1.0_w0.75@10 relL2=0.3473 lpips=0.0982 ffe=10.00
seed 9 C_p1.25_w0.25@10 relL2=0.3093 lpips=0.0608 ffe=10.00
seed 9 C_p1.25_w0.5@10 relL2=0.2984 lpips=0.0643 ffe=10.00
seed 9 C_p1.25_w0.75@10 relL2=0.3068 lpips=0.0982 ffe=10.00
seed 9 C_T1+SC1.25@10 relL2=0.3294 lpips=0.0722 ffe=10.00
seed 9 B1_T1@15 relL2=0.2637 lpips=0.0551 ffe=15.00
seed 9 C_p1.0_w0.25@15 relL2=0.2597 lpips=0.0534 ffe=15.00
seed 9 C_p1.0_w0.5@15 relL2=0.3048 lpips=0.0597 ffe=15.00
seed 9 C_p1.0_w0.75@15 relL2=0.3198 lpips=0.0685 ffe=15.00
seed 9 C_p1.25_w0.25@15 relL2=0.2391 lpips=0.0441 ffe=15.00
seed 9 C_p1.25_w0.5@15 relL2=0.2274 lpips=0.0418 ffe=15.00
seed 9 C_p1.25_w0.75@15 relL2=0.2173 lpips=0.0415 ffe=15.00
seed 9 C_T1+SC1.25@15 relL2=0.2590 lpips=0.0523 ffe=15.00
seed 9 B1_T1@20 relL2=0.2365 lpips=0.0474 ffe=20.00
seed 9 C_p1.0_w0.25@20 relL2=0.2146 lpips=0.0374 ffe=20.00
seed 9 C_p1.0_w0.5@20 relL2=0.1850 lpips=0.0291 ffe=20.00
seed 9 C_p1.0_w0.75@20 relL2=0.1490 lpips=0.0256 ffe=20.00
seed 9 C_p1.25_w0.25@20 relL2=0.1747 lpips=0.0273 ffe=20.00
seed 9 C_p1.25_w0.5@20 relL2=0.1269 lpips=0.0203 ffe=20.00
seed 9 C_p1.25_w0.75@20 relL2=0.0693 lpips=0.0101 ffe=20.00
seed 9 C_T1+SC1.25@20 relL2=0.1981 lpips=0.0351 ffe=20.00
seed 10 B1_T1@10 relL2=0.1916 lpips=0.0148 ffe=10.00
seed 10 C_p1.0_w0.25@10 relL2=0.1950 lpips=0.0143 ffe=10.00
seed 10 C_p1.0_w0.5@10 relL2=0.1963 lpips=0.0217 ffe=10.00
seed 10 C_p1.0_w0.75@10 relL2=0.2477 lpips=0.0493 ffe=10.00
seed 10 C_p1.25_w0.25@10 relL2=0.3510 lpips=0.0357 ffe=10.00
seed 10 C_p1.25_w0.5@10 relL2=0.3717 lpips=0.0555 ffe=10.00
seed 10 C_p1.25_w0.75@10 relL2=0.3758 lpips=0.1064 ffe=10.00
seed 10 C_T1+SC1.25@10 relL2=0.3370 lpips=0.0338 ffe=10.00
seed 10 B1_T1@15 relL2=0.1430 lpips=0.0084 ffe=15.00
seed 10 C_p1.0_w0.25@15 relL2=0.1345 lpips=0.0074 ffe=15.00
seed 10 C_p1.0_w0.5@15 relL2=0.1354 lpips=0.0087 ffe=15.00
seed 10 C_p1.0_w0.75@15 relL2=0.1363 lpips=0.0123 ffe=15.00
seed 10 C_p1.25_w0.25@15 relL2=0.1360 lpips=0.0075 ffe=15.00
seed 10 C_p1.25_w0.5@15 relL2=0.1369 lpips=0.0091 ffe=15.00
seed 10 C_p1.25_w0.75@15 relL2=0.1350 lpips=0.0132 ffe=15.00
seed 10 C_T1+SC1.25@15 relL2=0.1447 lpips=0.0085 ffe=15.00
seed 10 B1_T1@20 relL2=0.0546 lpips=0.0019 ffe=20.00
seed 10 C_p1.0_w0.25@20 relL2=0.0341 lpips=0.0009 ffe=20.00
seed 10 C_p1.0_w0.5@20 relL2=0.0405 lpips=0.0018 ffe=20.00
seed 10 C_p1.0_w0.75@20 relL2=0.0580 lpips=0.0040 ffe=20.00
seed 10 C_p1.25_w0.25@20 relL2=0.0345 lpips=0.0009 ffe=20.00
seed 10 C_p1.25_w0.5@20 relL2=0.0311 lpips=0.0014 ffe=20.00
seed 10 C_p1.25_w0.75@20 relL2=0.0440 lpips=0.0035 ffe=20.00
seed 10 C_T1+SC1.25@20 relL2=0.0565 lpips=0.0019 ffe=20.00
seed 11 B1_T1@10 relL2=0.4341 lpips=0.1405 ffe=10.00
seed 11 C_p1.0_w0.25@10 relL2=0.4217 lpips=0.1341 ffe=10.00
seed 11 C_p1.0_w0.5@10 relL2=0.4094 lpips=0.1317 ffe=10.00
seed 11 C_p1.0_w0.75@10 relL2=0.4082 lpips=0.1437 ffe=10.00
seed 11 C_p1.25_w0.25@10 relL2=0.3844 lpips=0.1172 ffe=10.00
seed 11 C_p1.25_w0.5@10 relL2=0.3810 lpips=0.1202 ffe=10.00
seed 11 C_p1.25_w0.75@10 relL2=0.3854 lpips=0.1435 ffe=10.00
seed 11 C_T1+SC1.25@10 relL2=0.3944 lpips=0.1231 ffe=10.00
seed 11 B1_T1@15 relL2=0.3321 lpips=0.0906 ffe=15.00
seed 11 C_p1.0_w0.25@15 relL2=0.3076 lpips=0.0800 ffe=15.00
seed 11 C_p1.0_w0.5@15 relL2=0.2584 lpips=0.0602 ffe=15.00
seed 11 C_p1.0_w0.75@15 relL2=0.2212 lpips=0.0466 ffe=15.00
seed 11 C_p1.25_w0.25@15 relL2=0.2908 lpips=0.0725 ffe=15.00
seed 11 C_p1.25_w0.5@15 relL2=0.2473 lpips=0.0553 ffe=15.00
seed 11 C_p1.25_w0.75@15 relL2=0.2154 lpips=0.0448 ffe=15.00
seed 11 C_T1+SC1.25@15 relL2=0.3233 lpips=0.0856 ffe=15.00
seed 11 B1_T1@20 relL2=0.2261 lpips=0.0454 ffe=20.00
seed 11 C_p1.0_w0.25@20 relL2=0.2019 lpips=0.0361 ffe=20.00
seed 11 C_p1.0_w0.5@20 relL2=0.1781 lpips=0.0281 ffe=20.00
seed 11 C_p1.0_w0.75@20 relL2=0.1341 lpips=0.0167 ffe=20.00
seed 11 C_p1.25_w0.25@20 relL2=0.0853 lpips=0.0065 ffe=20.00
seed 11 C_p1.25_w0.5@20 relL2=0.0293 lpips=0.0014 ffe=20.00
seed 11 C_p1.25_w0.75@20 relL2=0.0606 lpips=0.0050 ffe=20.00
seed 11 C_T1+SC1.25@20 relL2=0.1362 lpips=0.0158 ffe=20.00
